Source,Target,Type,Id,Label,Weight
31,16.465,Directed,863,,1
57,26,Directed,864,,5
57,3,Directed,865,,77
57,8,Directed,866,,9
57,8.75,Directed,868,,2
57,10.545,Directed,869,,5
20,51,Directed,870,,8
20,3,Directed,871,,91
20,7.5,Directed,873,,24
20,6.75,Directed,874,,38
20,22.99828767,Directed,875,,116
12,22,Directed,876,,1
12,18.5,Directed,878,,6
12,19.25,Directed,880,,2
12,41.98814815,Directed,881,,1
40,50,Directed,882,,2
40,3,Directed,883,,171
40,7,Directed,884,,40
40,8.5,Directed,885,,7
40,7.75,Directed,886,,15
21,35,Directed,888,,6
21,3,Directed,889,,223
21,12.5,Directed,890,,26
21,14,Directed,891,,41
21,13.25,Directed,892,,8
21,11.46666667,Directed,893,,6
14,5,Directed,894,,16
14,7,Directed,896,,70
14,8.5,Directed,897,,9
14,7.75,Directed,898,,14
49,6.5,Directed,902,,76
49,8,Directed,903,,59
49,7.25,Directed,904,,42
51,53,Directed,906,,18
51,17.75,Directed,910,,15
51,67.94010417,Directed,911,,14
10,40,Directed,912,,20
10,15,Directed,914,,22
10,16.5,Directed,915,,21
10,15.75,Directed,916,,3
10,18.80116279,Directed,917,,14
40,55,Directed,918,,1
40,6,Directed,920,,16
40,7.5,Directed,921,,17
40,6.75,Directed,922,,22
55,40,Directed,924,,1
55,18.80116279,Directed,929,,1
10,33,Directed,930,,20
10,18,Directed,932,,164
10,18.75,Directed,934,,17
10,4.96875,Directed,935,,15
33,31,Directed,936,,14
33,3,Directed,937,,250
33,13.25,Directed,938,,22
33,14.75,Directed,939,,5
33,14,Directed,940,,79
33,6.625,Directed,941,,46
9,19.5,Directed,945,,127
9,18.75,Directed,946,,104
7,49,Directed,948,,12
7,3,Directed,949,,445
7,18,Directed,950,,69
7,19.5,Directed,951,,20
7,18.75,Directed,952,,14
7,20.58125,Directed,953,,9
9,16.5,Directed,956,,61
9,17.25,Directed,958,,91
9,44,Directed,960,,67
9,15.37609649,Directed,965,,39
21,53,Directed,966,,11
21,4,Directed,967,,136
21,6.5,Directed,968,,38
21,8,Directed,969,,39
21,7.25,Directed,970,,27
21,17.53095238,Directed,971,,126
9,35,Directed,978,,64
9,21.5,Directed,981,,26
9,20.75,Directed,982,,9
9,11.46666667,Directed,983,,53
47,26,Directed,984,,15
